Model,Accuracy,Precision,Recall,F1-Score,F2-Score,MCC
1. Full Pipeline,0.903 +/- 0.008,0.312 +/- 0.023,0.798 +/- 0.054,0.448 +/- 0.028,0.608 +/- 0.036,0.461 +/- 0.032
2. Ablate SMOTE,0.963 +/- 0.003,0.711 +/- 0.060,0.411 +/- 0.023,0.520 +/- 0.027,0.449 +/- 0.024,0.523 +/- 0.032
3. Ablate Feat. Select,0.895 +/- 0.019,0.294 +/- 0.036,0.760 +/- 0.081,0.420 +/- 0.028,0.571 +/- 0.031,0.429 +/- 0.025
4. Ablate XGBoost,0.883 +/- 0.018,0.276 +/- 0.031,0.809 +/- 0.078,0.408 +/- 0.023,0.578 +/- 0.023,0.428 +/- 0.018
5. Dummy Baseline,0.951 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000
6. RUS Pipeline,0.845 +/- 0.008,0.223 +/- 0.009,0.867 +/- 0.042,0.355 +/- 0.013,0.550 +/- 0.020,0.391 +/- 0.018
